N,stratum,metric,model,reference,n_targets,targets,estimate,low,high,scale,wins,status,n_zero_model,n_zero_reference
40,similarity_active_03_04,ef1,nearest_active,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,4.0,1.0
40,similarity_active_04_055,ap,headft,base,2,434954-2097;504329,0.14801125623585504,-1.5838610909753779,1.879883603447088,mean_difference,2,defined,,
40,similarity_active_04_055,ap,headft,base,2,434954-2097;504329,1.3402823364444,0.04178828526473219,42.98708908501015,geometric_ratio,2,defined,0.0,0.0
40,similarity_active_04_055,ap,nearest_active,base,2,434954-2097;504329,-0.1999014496790247,-0.7468810602189497,0.3470781608609004,mean_difference,0,defined,,
40,similarity_active_04_055,ap,nearest_active,base,2,434954-2097;504329,0.5811707907506132,0.5692349510913751,0.5933569036372732,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_04_055,ap,base,headft,2,434954-2097;504329,-0.14801125623585504,-1.879883603447088,1.5838610909753779,mean_difference,0,defined,,
40,similarity_active_04_055,ap,base,headft,2,434954-2097;504329,0.7461114518996601,0.02326279869805622,23.93015156436589,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_04_055,ap,nearest_active,headft,2,434954-2097;504329,-0.34791270591487977,-1.532805442586188,0.8369800307564282,mean_difference,0,defined,,
40,similarity_active_04_055,ap,nearest_active,headft,2,434954-2097;504329,0.43361818248861345,0.013241998079136506,14.199120635802823,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_04_055,ef1,headft,base,2,434954-2097;504329,5.201079622132253,-86.07439650561118,96.47655574987569,mean_difference,1,defined,,
40,similarity_active_04_055,ef1,headft,base,2,434954-2097;504329,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,0.0,1.0
40,similarity_active_04_055,ef1,nearest_active,base,2,434954-2097;504329,-1.9824561403508767,-27.17194974013579,23.207037459434037,mean_difference,0,defined,,
40,similarity_active_04_055,ef1,nearest_active,base,2,434954-2097;504329,,,,geometric_ratio,0,log_ratio_undefined_due_to_zero,2.0,1.0
40,similarity_active_04_055,ef1,base,headft,2,434954-2097;504329,-5.201079622132253,-96.47655574987569,86.07439650561118,mean_difference,1,defined,,
40,similarity_active_04_055,ef1,base,headft,2,434954-2097;504329,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,1.0,0.0
40,similarity_active_04_055,ef1,nearest_active,headft,2,434954-2097;504329,-7.18353576248313,-73.26951829044165,58.90244676547539,mean_difference,0,defined,,
40,similarity_active_04_055,ef1,nearest_active,headft,2,434954-2097;504329,,,,geometric_ratio,0,log_ratio_undefined_due_to_zero,2.0,0.0
40,similarity_active_ge055,ap,headft,base,1,434954-2097,0.0,,,mean_difference,0,defined,,
40,similarity_active_ge055,ap,headft,base,1,434954-2097,1.0,,,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_ge055,ap,nearest_active,base,1,434954-2097,-0.18033309283309273,,,mean_difference,0,defined,,
