auroc,auprc,ef_1pct,ef_5pct,bedroc,recall_at_50,recall_at_100,hits_at_20,hits_at_100,n_eval,n_active,target,arm,feature,tuning,train_size,n_train_active,cv_ap,note
0.6936388210984163,0.04360903386228024,5.411086274072037,4.087014810892554,0.2040009067061992,0.010825439783491205,0.02165087956698241,4.0,16.0,49685,739,540297-493091,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,300,43,0.43206160123132004,cv
0.6541472230384955,0.049060790454821576,12.292873105324524,4.626039830422051,0.23313965237133286,0.03855421686746988,0.05301204819277108,8.0,22.0,49615,415,434954-2097,ecfp_graw_lgbm_cv,ecfp_graw,cv,40,24,0.6787472943722944,cv
0.6942063865216965,0.1978743368772088,30.129590944422855,7.469126809535603,0.3792219919110142,0.09397590361445783,0.14216867469879518,13.0,59.0,49615,415,434954-2097,ecfp_graw_lgbm_cv,ecfp_graw,cv,100,52,0.8316982610454332,cv
0.8441922813204037,0.27188915052773166,31.816848037310532,9.203891745943872,0.4698728070856694,0.10602409638554217,0.18313253012048192,19.0,76.0,49615,415,434954-2097,ecfp_graw_lgbm_cv,ecfp_graw,cv,300,107,0.7586391727051862,cv
0.60530066607895,0.01932744095066918,6.266954916439954,3.18040238341516,0.14893989890273762,0.014457831325301205,0.024096385542168676,2.0,10.0,49615,415,434954-2097,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,40,24,0.8589825683575684,cv
0.7115609266333627,0.19304842151486576,24.58574621064905,7.613690554236293,0.36911099657331975,0.09397590361445783,0.1493975903614458,18.0,62.0,49615,415,434954-2097,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,100,52,0.7436142024170193,cv
0.7281470761093152,0.24603957728176457,28.442333851535174,8.09556970323859,0.4042797741070129,0.11325301204819277,0.1783132530120482,19.0,74.0,49615,415,434954-2097,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,300,107,0.7416719324888946,cv
0.40753635860175896,0.022794696623788573,7.930700214260208,2.4355225964522655,0.12271497712606566,0.016605166051660517,0.025830258302583026,4.0,14.0,49582,542,463203-2650,ecfp_graw_lgbm_cv,ecfp_graw,cv,40,13,0.6346548821548822,cv
0.5922664606947864,0.023387201787839138,4.795307106296869,2.7307374566282974,0.14153331852072437,0.012915129151291513,0.01845018450184502,4.0,10.0,49582,542,463203-2650,ecfp_graw_lgbm_cv,ecfp_graw,cv,100,29,0.54359676592273,cv
0.8202392203367385,0.09903111059146313,13.648181764075705,6.937549214136756,0.3409661385373197,0.042435424354243544,0.055350553505535055,12.0,30.0,49582,542,463203-2650,ecfp_graw_lgbm_cv,ecfp_graw,cv,300,70,0.5724975473807379,cv
