target,n_train,budget_k,cut_M,is_full,hits,ceiling,hits_full_headft,hits_stage1_only,n_active_total,gpu_hours
540297-493091,300,500,25000,False,103,618,103,53,739,1.3888888888888888
540297-493091,300,500,49685,True,103,739,103,53,739,2.7602777777777776
434954-2097,40,100,500,False,22,76,18,19,415,0.027777777777777776
434954-2097,40,100,1000,False,19,109,18,19,415,0.05555555555555555
434954-2097,40,100,2500,False,18,190,18,19,415,0.1388888888888889
434954-2097,40,100,5000,False,18,242,18,19,415,0.2777777777777778
434954-2097,40,100,10000,False,18,315,18,19,415,0.5555555555555556
434954-2097,40,100,25000,False,18,394,18,19,415,1.3888888888888888
434954-2097,40,100,49615,True,18,415,18,19,415,2.756388888888889
434954-2097,40,500,500,False,76,76,68,76,415,0.027777777777777776
434954-2097,40,500,1000,False,64,109,68,76,415,0.05555555555555555
434954-2097,40,500,2500,False,69,190,68,76,415,0.1388888888888889
434954-2097,40,500,5000,False,68,242,68,76,415,0.2777777777777778
434954-2097,40,500,10000,False,68,315,68,76,415,0.5555555555555556
434954-2097,40,500,25000,False,68,394,68,76,415,1.3888888888888888
434954-2097,40,500,49615,True,68,415,68,76,415,2.756388888888889
434954-2097,100,100,500,False,21,76,23,19,415,0.027777777777777776
434954-2097,100,100,1000,False,20,109,23,19,415,0.05555555555555555
434954-2097,100,100,2500,False,23,190,23,19,415,0.1388888888888889
434954-2097,100,100,5000,False,23,242,23,19,415,0.2777777777777778
434954-2097,100,100,10000,False,23,315,23,19,415,0.5555555555555556
434954-2097,100,100,25000,False,23,394,23,19,415,1.3888888888888888
434954-2097,100,100,49615,True,23,415,23,19,415,2.756388888888889
434954-2097,100,500,500,False,76,76,92,76,415,0.027777777777777776
434954-2097,100,500,1000,False,78,109,92,76,415,0.05555555555555555
434954-2097,100,500,2500,False,92,190,92,76,415,0.1388888888888889
434954-2097,100,500,5000,False,92,242,92,76,415,0.2777777777777778
434954-2097,100,500,10000,False,92,315,92,76,415,0.5555555555555556
434954-2097,100,500,25000,False,92,394,92,76,415,1.3888888888888888
434954-2097,100,500,49615,True,92,415,92,76,415,2.756388888888889
434954-2097,300,100,500,False,45,76,76,19,415,0.027777777777777776
434954-2097,300,100,1000,False,53,109,76,19,415,0.05555555555555555
434954-2097,300,100,2500,False,73,190,76,19,415,0.1388888888888889
434954-2097,300,100,5000,False,76,242,76,19,415,0.2777777777777778
434954-2097,300,100,10000,False,76,315,76,19,415,0.5555555555555556
434954-2097,300,100,25000,False,76,394,76,19,415,1.3888888888888888
434954-2097,300,100,49615,True,76,415,76,19,415,2.756388888888889
434954-2097,300,500,500,False,76,76,138,76,415,0.027777777777777776
434954-2097,300,500,1000,False,96,109,138,76,415,0.05555555555555555
434954-2097,300,500,2500,False,132,190,138,76,415,0.1388888888888889
434954-2097,300,500,5000,False,138,242,138,76,415,0.2777777777777778
434954-2097,300,500,10000,False,138,315,138,76,415,0.5555555555555556
434954-2097,300,500,25000,False,138,394,138,76,415,1.3888888888888888
434954-2097,300,500,49615,True,138,415,138,76,415,2.756388888888889
463203-2650,40,100,500,False,7,75,5,12,542,0.027777777777777776
463203-2650,40,100,1000,False,5,123,5,12,542,0.05555555555555555
463203-2650,40,100,2500,False,5,202,5,12,542,0.1388888888888889
463203-2650,40,100,5000,False,5,286,5,12,542,0.2777777777777778
463203-2650,40,100,10000,False,5,373,5,12,542,0.5555555555555556
463203-2650,40,100,25000,False,5,487,5,12,542,1.3888888888888888
463203-2650,40,100,49582,True,5,542,5,12,542,2.754555555555556
463203-2650,40,500,500,False,75,75,33,75,542,0.027777777777777776
463203-2650,40,500,1000,False,41,123,33,75,542,0.05555555555555555
463203-2650,40,500,2500,False,33,202,33,75,542,0.1388888888888889
463203-2650,40,500,5000,False,33,286,33,75,542,0.2777777777777778
463203-2650,40,500,10000,False,33,373,33,75,542,0.5555555555555556
463203-2650,40,500,25000,False,33,487,33,75,542,1.3888888888888888
463203-2650,40,500,49582,True,33,542,33,75,542,2.754555555555556
463203-2650,100,100,500,False,20,75,16,12,542,0.027777777777777776
463203-2650,100,100,1000,False,18,123,16,12,542,0.05555555555555555
463203-2650,100,100,2500,False,16,202,16,12,542,0.1388888888888889
463203-2650,100,100,5000,False,16,286,16,12,542,0.2777777777777778
463203-2650,100,100,10000,False,16,373,16,12,542,0.5555555555555556
463203-2650,100,100,25000,False,16,487,16,12,542,1.3888888888888888
463203-2650,100,100,49582,True,16,542,16,12,542,2.754555555555556
463203-2650,100,500,500,False,75,75,75,75,542,0.027777777777777776
463203-2650,100,500,1000,False,80,123,75,75,542,0.05555555555555555
463203-2650,100,500,2500,False,77,202,75,75,542,0.1388888888888889
463203-2650,100,500,5000,False,75,286,75,75,542,0.2777777777777778
463203-2650,100,500,10000,False,75,373,75,75,542,0.5555555555555556
463203-2650,100,500,25000,False,75,487,75,75,542,1.3888888888888888
463203-2650,100,500,49582,True,75,542,75,75,542,2.754555555555556
463203-2650,300,100,500,False,27,75,27,12,542,0.027777777777777776
463203-2650,300,100,1000,False,27,123,27,12,542,0.05555555555555555
463203-2650,300,100,2500,False,27,202,27,12,542,0.1388888888888889
463203-2650,300,100,5000,False,27,286,27,12,542,0.2777777777777778
463203-2650,300,100,10000,False,27,373,27,12,542,0.5555555555555556
463203-2650,300,100,25000,False,27,487,27,12,542,1.3888888888888888
463203-2650,300,100,49582,True,27,542,27,12,542,2.754555555555556
463203-2650,300,500,500,False,75,75,106,75,542,0.027777777777777776
463203-2650,300,500,1000,False,88,123,106,75,542,0.05555555555555555
463203-2650,300,500,2500,False,102,202,106,75,542,0.1388888888888889
463203-2650,300,500,5000,False,104,286,106,75,542,0.2777777777777778
463203-2650,300,500,10000,False,106,373,106,75,542,0.5555555555555556
463203-2650,300,500,25000,False,106,487,106,75,542,1.3888888888888888
463203-2650,300,500,49582,True,106,542,106,75,542,2.754555555555556
493248-485317,40,100,500,False,10,33,11,8,953,0.027777777777777776
493248-485317,40,100,1000,False,11,64,11,8,953,0.05555555555555555
493248-485317,40,100,2500,False,11,135,11,8,953,0.1388888888888889
493248-485317,40,100,5000,False,11,221,11,8,953,0.2777777777777778
493248-485317,40,100,10000,False,11,355,11,8,953,0.5555555555555556
493248-485317,40,100,25000,False,11,660,11,8,953,1.3888888888888888
493248-485317,40,100,49680,True,11,953,11,8,953,2.76
493248-485317,40,500,500,False,33,33,37,33,953,0.027777777777777776
493248-485317,40,500,1000,False,44,64,37,33,953,0.05555555555555555
493248-485317,40,500,2500,False,38,135,37,33,953,0.1388888888888889
493248-485317,40,500,5000,False,37,221,37,33,953,0.2777777777777778
493248-485317,40,500,10000,False,37,355,37,33,953,0.5555555555555556
493248-485317,40,500,25000,False,37,660,37,33,953,1.3888888888888888
493248-485317,40,500,49680,True,37,953,37,33,953,2.76
493248-485317,100,100,500,False,9,33,10,8,953,0.027777777777777776
493248-485317,100,100,1000,False,12,64,10,8,953,0.05555555555555555
493248-485317,100,100,2500,False,10,135,10,8,953,0.1388888888888889
493248-485317,100,100,5000,False,10,221,10,8,953,0.2777777777777778
493248-485317,100,100,10000,False,10,355,10,8,953,0.5555555555555556
493248-485317,100,100,25000,False,10,660,10,8,953,1.3888888888888888
493248-485317,100,100,49680,True,10,953,10,8,953,2.76
493248-485317,100,500,500,False,33,33,40,33,953,0.027777777777777776
493248-485317,100,500,1000,False,40,64,40,33,953,0.05555555555555555
493248-485317,100,500,2500,False,38,135,40,33,953,0.1388888888888889
493248-485317,100,500,5000,False,41,221,40,33,953,0.2777777777777778
493248-485317,100,500,10000,False,40,355,40,33,953,0.5555555555555556
493248-485317,100,500,25000,False,40,660,40,33,953,1.3888888888888888
493248-485317,100,500,49680,True,40,953,40,33,953,2.76
493248-485317,300,100,500,False,16,33,25,8,953,0.027777777777777776
493248-485317,300,100,1000,False,18,64,25,8,953,0.05555555555555555
493248-485317,300,100,2500,False,23,135,25,8,953,0.1388888888888889
493248-485317,300,100,5000,False,25,221,25,8,953,0.2777777777777778
493248-485317,300,100,10000,False,25,355,25,8,953,0.5555555555555556
493248-485317,300,100,25000,False,25,660,25,8,953,1.3888888888888888
493248-485317,300,100,49680,True,25,953,25,8,953,2.76
493248-485317,300,500,500,False,33,33,68,33,953,0.027777777777777776
